,NYUAD Archives Reference,,Song Title,Artist,Composer,Year (estimate/range),Original Format,Side,Label,"Serial Numbers (Generally: Recording #, Disc #, other)",Genre,Collection ID,Image,Research Notes,Corrections made by Cristóbal. 
TRUE,AD-MC-035_ref166,166,Gari La Punda Sipandi,The Nairobi City Five,Mkinda Ngao,NA,78 rpm shellac disc,NA,His Master's Voice,"OAM 63, AMC 38",Swahili,PP,Y,“featuring Fundi Konde and Daniel Katuga (vocal); arranged: Konde—Colmore.”,Genre
TRUE,AD-MC-035_ref168,168,Hadithi ya Bibi na Vijakazi Part 1,Malim Shaban,NA,ca. 1930,78 rpm shellac disc,A,Columbia,"W.63185, WE.54",Swahili,PP,Y,"Alternate spellings: Maalim Shaban, Maalim Shaaban, Mw. Shabaan. “Tanganyika and Zanzibar Recording.” ""Native Instrument."" ""Magic Notes Trademark."" ""Song."" Comedy.",New Entry
TRUE,AD-MC-035_ref170,170,Hadithi ya Bibi na Vijakazi Part 2,Malim Shaban,NA,ca. 1930,78 rpm shellac disc,B,Columbia,"W.63186, WE.54",Swahili,PP,Y,"Alternate spellings: Maalim Shaban, Maalim Shaaban, Mw. Shabaan.  “Tanganyika and Zanzibar Recording.” ""Native Instrument."" ""Magic Notes Trademark."" ""Song."" Comedy.",Corrected serial number
TRUE,AD-MC-035_ref172,172,Hadithi ya Sultani na Kitanda Chake Kipya—Sehemu ya Kwanza,Saleh Buesh,NA,ca. 1930,78 rpm shellac disc,NA,Columbia,"W.63349, WE.9",Kiswahili,PP,Y,"“Tanganyika and Zanzibar Recording.” Story/Comedy. Part 1 of 4 ""Magic Notes Trade Mark.""",Corrected Side. 
TRUE,AD-MC-035_ref174,174,Hadithi ya Sultani na Kitanda Chake Kipya—Sehemu ya Nne,Saleh Buesh,NA,ca. 1930,78 rpm shellac disc,NA,Columbia,"W.63352, WE.33",Kiswahili,PP,Y,"“Tanganyika and Zanzibar Recording.” Story/Comedy. Part 4 of 4. ""Magic Notes Trade Mark.""",Corrected Side. 
TRUE,AD-MC-035_ref176,176,Hadithi ya Sultani na Kitanda Chake Kipya—Sehemu ya Pili,Saleh Buesh,NA,ca. 1930,78 rpm shellac disc,NA,Columbia,"W.63350, WE.9",Kiswahili,PP,Y,"“Tanganyika and Zanzibar Recording.” Story/Comedy. Part 2 of 4. ""Magic Notes Trade Mark.""",Corrected Side. 
TRUE,AD-MC-035_ref178,178,Hadithi ya Sultani na Kitanda Chake Kipya—Sehemu ya Tatu,Saleh Buesh,NA,ca. 1930,78 rpm shellac disc,NA,Columbia,"W.63351, WE.33",Kiswahili,PP,Y,"“Tanganyika and Zanzibar Recording.” Story/Comedy. Part 3 of 4. ""Magic Notes Trade Mark.""",Corrected Side. 
TRUE,AD-MC-035_ref184,184,Hadithiya Baisikli,Osman and Party,NA,1956-1959,78 rpm shellac disc,NA,Tom Tom,"ZD 46, VOM 123, TZ 0655",Swahili,PP,Y,Pressed in Kampala. “Mfg for Shah Zaverchand Depar and Bros. Mombasa.” Comedy. Title should read: “Hadithi ya Baiskeli.”,Added third serial number. 
TRUE,AD-MC-035_ref186,186,Hadithiya Moho-Go,Osman and Party,NA,1956-1959,78 rpm shellac disc,NA,Tom Tom,"ZD 45, VOM 123, TZ 0654",Swahili,PP,Y,Pressed in Kampala. “Mfg for Shah Zaverchand Depar and Bros. Mombasa.” Comedy. Title should read: “Hadithi ya Muhogo.”,
TRUE,AD-MC-035_ref188,188,Hao Hao Ndiyo,Fundi Konde,Fundi Konde,NA,78 rpm shellac disc,NA,Troubadour,"1306, AFC.182",Swahili,PP,Y,"""Troubadour Records, P.O. BOX 1225 Johannesburg, SA."" ""Konde."" ""MATA.""",Serial no. Notes
TRUE,AD-MC-035_ref190,190,Hatuonani Kwanini,Yaseen Mimi & Party,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"CES 10104, AM 2",Kiswahili,PP,Y,"Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Assanand & Sons (Mombasa) LTD. “Orchestra: Taisokoto, Accordian, Flute, Drum & Maracas.” Cha-cha/rumba style. Listed instrumentation incorrect: guitar is audible, accordian is not.",NONE
TRUE,AD-MC-035_ref192,192,Hayana Ukomo,Alwattan Musical Club,M. Saleh,1954/5,78 rpm shellac disc,NA,Gallotone,"ABC.13815, GB.2232",NA,JH,,"Leader: Sheikh Salim; Singer: Layla Maulidi. Also archived in the British Library Sound Archive, and released on Poetry and Languid Charm (Topic Records, 2007) with contextual notes by Janet Topp Fargion.",
TRUE,AD-MC-035_ref194,194,Hibaba Ingome,Fundi Konde & Ben,NA,NA,78 rpm shellac disc,NA,Habari,"M 777, CV 18",Swahili Duet,PP,Y,Other side listed as “Fundi Konde and Ben.” “Specially Made for Assanand & Sons (Uganda) LTD. Kampala.”,Title
TRUE,AD-MC-035_ref196,196,Hiyo Kwetu Si Sheriya,Fundi Konde & Ben,NA,NA,78 rpm shellac disc,NA,Habari,"M 776, CV 17",Swahili Duet,PP,Y,“Specially Made for Assanand & Sons (Uganda) LTD. Kampala.”,Sides
TRUE,AD-MC-035_ref198,198,Huba Ina Joto,Egyptian Club,NA,ca. 1955-1965,78 rpm shellac disc,A,Mzuri,"A.B. 747, AM. 374",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD. Mombasa.""",New Entry
TRUE,AD-MC-035_ref200,200,Jambo Jambo Bugi,Yaseen & Kasanga Party,Yaseen & Party,NA,78 rpm shellac disc,NA,Columbia,"CES. 10016, EOM 11",Kiswahili,PP,Y,"""Magic Notes Trade Mark.""Boogie. Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. ",Added period to first serial number. Corrected artist name. Changed disc side from B to NA. 
TRUE,AD-MC-035_ref201,201,Jana Naliota Ndoto,Fundi Konde,NA,NA,78 rpm shellac disc,NA,Troubadour,"AD 553, BZ. 1248",Swahili,PP,Y,"""Troubadour Records, P.O. BOX 1225 Johannesburg, SA.""",Serial no. Notes
TRUE,AD-MC-035_ref203,203,Jawabu ya Mtama,Kibwana and Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1351, EO.2201",Kiswahili,PP,Y,"Taarab. ""Magic Notes Trade Mark.""",
TRUE,AD-MC-035_ref204,204,Jike Na Dume Kongwe,Fundi Konde & His Guitar,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1006, EA. 485",Swahili,PP,Y,"“East African Records LTD.” ""Guitar & Vocal.""",Serial no. Notes
TRUE,AD-MC-035_ref205,205,Josephina Josephina Josephina,Fundi Konde/Ester Nicholas/Ben Nicholas/Reg Manus,Fundi Konde,1957,78 rpm shellac disc,B,His Master's Voice,"OAM.447, AMC 159",Swahili,PP,Y,"“Fundi Konde (guitar & vocal), Ester Nicholas (vocal), Ben Nicholas (vocal), Reg. Manus (P. accordeon)”",
TRUE,AD-MC-035_ref207,207,Juba,Husseini & Siti Masika & Party,Lulu Orchestra,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 58, AM 29",Kiswahili,PP,Y,"""Made in Germany."" ""Assanand & Sons (Mombasa) LTD.""",New Entry! 
TRUE,AD-MC-035_ref209,209,Junda Milimani,Fundi Konde & Ben,NA,NA,78 rpm shellac disc,NA,Habari,"M 775, CV 17",Swahili Duet,PP,Y,“Specially Made for Assanand & Sons (Uganda) LTD. Kampala.”,Sides
TRUE,AD-MC-035_ref211,211,Kalipso—Swahili,Kasanga & Yaseen Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES. 10031, EOM 18",Kiswahili,PP,Y,"“Accomp. : Kasanga Yaseen Orch.” ""Magic Notes Trade Mark""",
TRUE,AD-MC-035_ref214,214,Katika Duniya,Musa Maruf,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 772, EA.421",Swahili,PP,Y,"""East African Records LTD."" ""Nairobi."" Duplicated in JH.",New Entry!
TRUE,AD-MC-035_ref216,216,Kheri Kunitinda,Jumbe Ali,NA,NA,78 rpm shellac disc,NA,His Master's Voice,"OAF 155, M.A. 120","Swahili Song, Traditional",PP,Y,NA,New Entry
TRUE,AD-MC-035_ref217,217,Kijana Mpenzi,Yaseen & Mimi (Radio Singer),NA,NA,78 rpm shellac disc,NA,Columbia,"CES. 10032, EOM 19",Kiswahili,PP,Y,"“Yaseen Orchestra. Magic Notes Trade Mark” Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. ",Added (Radio Singer) to name. Added period to first serial number. 
TRUE,AD-MC-035_ref219,219,Kila,Salim Lulu Orchestra & Vocal,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1600, EA. 803",Swahili,PP,Y,"""East African Records Limited.""",New Entry!
TRUE,AD-MC-035_ref221,221,Kila Siku,Kiran & Pran,Joseph Karanja,1935-1955,78 rpm shellac disc,NA,Young India,"T 950, SR 152",Swahili,PP,Y,"“Film Tune: ‘Azad’.” Based on Hindi film song. Part of a series of Swahilized Hindi film songs released by Young India. On Young India, see http://eap.bl.uk/database/overview_project.a4d?projID=EAP190;r=41. This song is not available in the British Library archive.",
TRUE,AD-MC-035_ref223,223,Kime Ingiya 1st Part,Sheikh Mohamad Ali (Badi),NA,ca. 1930,78 rpm shellac disc,A,Pathé,"N 73.055, X. 79026",Swahili,PP,Y,"""Mughani Shahir Sheikh Mohamad Ali (Badi)"" ""Swahili Song of Mombasa."" ""Acc: Piano na Kamanja""",New Entry! 
TRUE,AD-MC-035_ref225,225,Kime Ingiya 2nd Part,Sheikh Mohamad Ali (Badi),NA,ca. 1930,78 rpm shellac disc,B,Pathé,"N 73.056, X. 79026",Swahili,PP,Y,"""Swahili Song of Mombasa."" ""Acc: Piano na Kamanja""",
TRUE,AD-MC-035_ref227,227,Kipenzi Changu,Mohamed Ali Bwagajuga,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1097, EA. 527",Swahili,PP,Y,"""East African Records LTD."" ""Nairobi."" ""Guitar and Vocal.""",New Entry!
TRUE,AD-MC-035_ref229,229,Kisa—Cha—Africa Part 1,Umari,NA,NA,78 rpm shellac disc,A,Columbia,"CES. 566, EO 262",Swahili,PP,Y,"""Magic Notes Trade Mark"" Swahili comedy. Part 1 of 2. Same performer as Ustad Omar?",Added periods to serial numbers. Added hyphens to tittle. 
TRUE,AD-MC-035_ref231,231,Kisa—Cha—Africa Part 2,Umari,NA,NA,78 rpm shellac disc,B,Columbia,"CES. 567, EO 262",Swahili,PP,Y,"""Magic Notes Trade Mark"" Swahili comedy. Part 2 of 2. Same performer as Ustad Omar?",Added periods to serial numbers. Added hyphens to tittle. 
TRUE,AD-MC-035_ref233,233,Kisacha—Atar,Umari,NA,NA,78 rpm shellac disc,A,Columbia,"CES. 572, EO. 261",Swahili,PP,Y,"""Magic Notes Trade Mark."" ""Part 1."" Same performer as Ustad Omar?",New Entry!
TRUE,AD-MC-035_ref235,235,Kisacha—Atar,Umari,NA,NA,78 rpm shellac disc,B,Columbia,"CES. 573, EO. 261",Swahili,PP,Y,"""Magic Notes Trade Mark."" ""Part 2."" Same performer as Ustad Omar?",New Entry!
TRUE,AD-MC-035_ref237,237,Kisonge,Yaseen & Mimi (Radio Singers),NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 302, AM 152",Kiswahili,PP,Y,"Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Assanand & Sons (Mombasa) LTD. “Radio singers.” “Orchestra: Taishokoto, Castanets & Drums.”",Added Radio Singers to name. Changed disc side from A to NA.  
TRUE,AD-MC-035_ref239,239,Kopa Nakulipa,Yaseen & Kasanga Party,Yaseen & Party,NA,78 rpm shellac disc,NA,Columbia,"CES. 10018, EOM 12",Kiswahili,PP,Y,"“Radio Singer.” ""Magic Notes Trade Mark"" Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. ",Corrected na Kulipa to Nakulipa. Added period to first serial number. 
TRUE,AD-MC-035_ref241,241,Kuche Chema,Siti Masika & Sulemani & Party,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 78, AM 39",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" ""Mombasa"" ""Made in Germany."" ""Sulemani Orchestra""",New Entry! 
TRUE,AD-MC-035_ref243,243,Kugombana Kupatana,Pardesi,Fateh Ali,1935-1955,78 rpm shellac disc,NA,Young India,"T 756, SR 133",Swahili Solo,PP,Y,"Based on Hindi film song. Part of a series of Swahilized Hindi film songs released by Young India. On Young India, see http://eap.bl.uk/database/overview_project.a4d?projID=EAP190;r=41. This song is not available in the British Library archive.",
TRUE,AD-MC-035_ref245,245,Kuku Rumba,Siti Ganduri & Kibwana,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1300, EO.2176",Ki-Swahili,PP,Y,"""Magic Notes Trade Mark.""",New Entry!
TRUE,AD-MC-035_ref246,246,Kula Mara,Kibwana Orchestra,NA,NA,78 rpm shellac disc,NA,Jambo,"MOM. 50, EA. 438",Swahili,PP,Y,"""East African Records LTD."" ""Nairobi.""",New Entry
TRUE,AD-MC-035_ref248,248,Kundara Kundara,Fundi Konde,NA,NA,78 rpm shellac disc,NA,Habari,"M 780, CV 19",Swahili Solo,PP,Y,“Specially Made for Assanand & Sons (Uganda) LTD. Kampala.”,None
TRUE,AD-MC-035_ref250,250,Kupenda Ni Mashaka,Egyptian Club (Abbas Haji),NA,ca. 1955-1965,78 rpm shellac disc,A,Mzuri,"A.B. 729, AM. 365",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD. Mombasa.""",New Entry
TRUE,AD-MC-035_ref252,252,Kwa Heri Mpenzi Wangu,Fundi Konde & His Guitar,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1007, EA. 485",Swahili,PP,Y,“East African Records LTD.” “Guitar & Vocal.”,Serial no. Notes
TRUE,AD-MC-035_ref253,253,"Kwa mtwana Mbaruku, Gonga",Musa Bini Ali with Subeti Duna,NA,NA,78 rpm shellac disc,A,Gallotone,"WYZ.5073, GB. 1254",NA,PP,Y,"""Gonga dance songs with Marimba Xylophone""",New Entry! 
TRUE,AD-MC-035_ref255,255,Kwa Mungu kunyenyekea,Lugobe with Nyamwezi Women,NA,NA,78 rpm shellac disc,B,Gallotone,"XYZ.5099, GB.1311, RC.30",Nyamwezi,PP,Y,“Manyanga dance song with drums.”,Corrected song name. 
TRUE,AD-MC-035_ref258,258,Kwaheri Tutaonana,Kiran & Varma,Joseph Karanja,1935-1955,78 rpm shellac disc,NA,Young India,"T 953, SR 151",Swahili,PP,Y,"“Film Tune: ‘Baghi Sipahi’.” Based on Hindi film song. Part of a series of Swahilized Hindi film songs released by Young India. On Young India, see http://eap.bl.uk/database/overview_project.a4d?projID=EAP190;r=41. This song is not available in the British Library archive.",No corrections
TRUE,AD-MC-035_ref260,260,Kwaherini,Stephen & Sisters,Stephen B. Ngumbao,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB. 503, AM 252",Kiswahili,PP,Y,Assanand & Sons (Mombasa) LTD.,Changed spelling of song name. Added periods to serial numebers. 
TRUE,AD-MC-035_ref262,262,Kweli,Kibwana & Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1319, EO.2172",Ki-Swahili,PP,Y,"""Magic Notes Trade Mark.""",Serial no. 
TRUE,AD-MC-035_ref263,263,Ladies Show,Yaseen and Mimi (Radio Singers),NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 301, AM 151",Kiswahili,PP,Y,"Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Assanand & Sons (Mombasa) LTD. “Orchestra: Taishokoto, Castanets & Drums.” Picture out of focus. ",NONE
TRUE,AD-MC-035_ref265,265,Lakchimba,Osman Juma,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1365, EO.2203",Swahili,PP,Y,"Singer also known as Osman Bin Juma. ""Magic Notes Trade Mark.""",Corrected side. 
TRUE,AD-MC-035_ref267,267,Lipi Uli Pendalo—Walze,The Rhino Boys,NA,NA,78 rpm shellac disc,NA,His Master's Voice,"OMC.20183, N. 17108","Swahili, Walze",PP,Y,"“Directed by Jeff Seabrook.” ""Vocal Refrain by Valentine Muwuiya."" ""Arr: Jeff Seabrook.""",Moved Arr: and vocal refrain to research notes. Corrected side. Chnaged Label name. 
TRUE,AD-MC-035_ref269,269,Ma Bwana Wa K.A.R.,Mohamedali Badi,Traditional,NA,78 rpm shellac disc,NA,His Master's Voice,"OAF.26, MA.13",Swahili March Song,PP,Y,"Singer also known as: Mohamedali Badi, Mohamed Ali Badi, Mohamed Badi",New Entry!
TRUE,AD-MC-035_ref272,272,Mafindsu ya Mume,Idi Bin Salim,NA,NA,78 rpm shellac disc,NA,Tazama,"TM 484, IS 1",Swahili,PP,Y,“Distributors: 1. Rajabali Valimahomed; 2. Uganda Music Emp. LTD.”,Sides
TRUE,AD-MC-035_ref274,274,Magumba,Paulo M. Ojambo & Party,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 53, AM 27",Samiya Bogwe,PP,Y,"""Assanand & Sons (Mombasa) LTD."" ""Guitar and Maracas”",Corrected side. 
TRUE,AD-MC-035_ref276,276,Mahabani Tamu,Muhimu Baluchi,Star & Lulu Orchestra,NA,78 rpm shellac disc,NA,Columbia,"CES.10092, EOM 39",Kiswahili,PP,Y,"""Magic Notes Trade Mark.""",
TRUE,AD-MC-035_ref277,277,Mal El Gamil (Part 1),Yaseen Fara,NA,ca. 1955-1965,78 rpm shellac disc,A,Mzuri,"A.B. 715, AM. 358",Arabic,PP,Y,"""Assanand & Sons(Mombasa) LTD. MOMBASA"" Arabic (Hadhrami). Singer also known as Yaseen Abdulla Farah.",Added parenthesis to song name. Added periods to series number. Added research notes. 
TRUE,AD-MC-035_ref279,279,Mal El Gamil (Part 2),Yaseen Fara,NA,ca. 1955-1965,78 rpm shellac disc,B,Mzuri,"A.B. 716, AM. 358",Arabic,PP,Y,"""Assanand & Sons(Mombasa) LTD. MOMBASA"" Arabic (Hadhrami). Singer also known as Yaseen Abdulla Farah.",Added parenthesis to song name. Added periods to series number. Added research notes. 
TRUE,AD-MC-035_ref281,281,Mama Njoo Nikwambie Rabai,Osman Bin Juma,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1094, EO.2165",Swahili,PP,Y,"""Magic Notes Trade Mark.""",Added research notes. 
TRUE,AD-MC-035_ref282,282,Mambo Africa,Yaseen Mimi & Party,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"CES 10103, AM 2",Kiswahili,PP,Y,"Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Assanand & Sons (Mombasa) LTD. “Orchestra: Taisokoto, Accordion, Flute, Drum & Maracas.”",NONE
TRUE,AD-MC-035_ref284,284,Mambo ni Mambo,Varma,Joseph Karanja,1935-1955,78 rpm shellac disc,NA,Young India,"T 951, SR 152",Swahili,PP,Y,"“Film Tune: ‘Baghi Sipahi’.” Based on Hindi film song. Part of a series of Swahilized Hindi film songs released by Young India. On Young India, see http://eap.bl.uk/database/overview_project.a4d?projID=EAP190;r=41. This song is not available in the British Library archive.",
TRUE,AD-MC-035_ref286,286,Manzowea Namapenzi—Rumba Part 1,Sitti Bint Saad,NA,NA,78 rpm shellac disc,A,Columbia,"CES.2012, EO.2006",Swahili Song,PP,Y,"Siti Binti Saad. Title should read “Mazowea” or “Mazoeya.” ""Magic Notes Trade Mark.""",
TRUE,AD-MC-035_ref288,288,Manzowea Namapenzi—Rumba Part 2,Sitti Bint Saad,NA,NA,78 rpm shellac disc,B,Columbia,"CES 2013, EO 2006",Swahili Song,PP,Y,"Siti Binti Saad. Title should read “Mazowea” or “Mazoeya.” ""Magic Notes Trade Mark.""",Corrected second serial number. 
TRUE,AD-MC-035_ref290,290,Mapenzi,Salim & Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1312, EO.502",Swahili,PP,Y,"""Magic Notes Trade Mark.""",
TRUE,AD-MC-035_ref291,291,Mapenzi Nikipofu,Fundi Konde & His Guitar,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 996, EA. 484",Swahili,PP,Y,“East African Records LTD.” “Guitar & Vocal.”,Serial no. Notes 
TRUE,AD-MC-035_ref293,293,Marehemu Mpenzi,Yaseen & Mimi (Radio Singers),NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 303, AM 152",Kiswahili,PP,Y,"Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Assanand & Sons (Mombasa) LTD. “Radio singers.” “Orchestra: Taishokoto, Castanets & Drums.”",Added Radio Singers to name. Changed disc side from B to NA.  
TRUE,AD-MC-035_ref295,295,Mary Wacha Chasiya,Egyptian Band,NA,1956-1959,78 rpm shellac disc,NA,Tom Tom,"T 0926, TR 474",Swahili,PP,Y,"""(Leader's: Sheikh Salim & Siti Nuru)."" ""Opel Gramophone Record Factory LTD. Kampala/Uganda, East Africa.""",New Entry
TRUE,AD-MC-035_ref297,297,Masikini,Osman Juma,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1366, EO.2203",Swahili,PP,Y,"Singer also known as Osman Bin Juma. ""Magic Notes Trade Mark.""",Corrected side. 
TRUE,AD-MC-035_ref299,299,Mapenzi Wawili,Egyptian Club (Abbas Haji),NA,ca. 1955-1965,78 rpm shellac disc,B,Mzuri,"A.B. 730, AM. 365",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD. Mombasa.""",New Entry
TRUE,AD-MC-035_ref301,301,Nimechoka kusubiri,M. A. Bwagajuga,NA,NA,78 rpm shellac disc,A,Gallotone,"XYZ.6086, GB.1572, RC.30",Swahili/Nguja,PP,Y,"Singer also known as Mohamed Ali Bwagajuga. ""Love song (unidentified word) guitar."" ",New Entry!
TRUE,AD-MC-035_ref303,303,Mapenzi Ya Kwetu Sisi,Fundi Konde and His Guitar,Traditional,1952-1961,78 rpm shellac disc,A,Jambo,"JR. 574, EA. 245",Swahili,PP,Y,“East African Records LTD.” “From the Jambo film “Nyimbo za Kisasa.” See Harrev 1989. ,Serial no.
TRUE,AD-MC-035_ref305,305,Mauwa,Egyptian Musical Club,NA,NA,78 rpm shellac disc,A,Gallotone,"ABC.12285, TA.70",Swahili,PP,Y,"""Leader: Bom Amberon."" ""Made in England.""",New Entry
TRUE,AD-MC-035_ref307,307,Mcheza Kwao Hutuzwa,Morning Star Orchestra,NA,1956-1959,78 rpm shellac disc,NA,Tom Tom,"T 0771, TR 454",Swahili,PP,Y,"""(Vocalist: Mohammed Athman)."" ""Opel Gramophone Record Factory LTD. Kampala/Uganda, East Africa.""",New Entry! 
TRUE,AD-MC-035_ref309,309,Mdomo Wake Sukari,Kibwana Orchestra,NA,NA,78 rpm shellac disc,NA,Jambo,"MOM. 51, EA. 438",Swahili,PP,Y,"""East African Records LTD."" ""Nairobi.""",New Entry
TRUE,AD-MC-035_ref311,311,Meja Khatibu,Landova Lele-Mama Band,NA,1952-1961,78 rpm shellac disc,B,Jambo,"JR.649, EA.274",Swahili,PP,Y,"""Vocal, with Trumpet and Mbiu accompaniment."" ""Traditional."" ""East African Sound Studios LTD."" ""Nairobi."" ",New Entry!
TRUE,AD-MC-035_ref313,313,Mengi Masikitiko,Morogoro Jazz Band,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1159, EA. 558",Swahili,PP,Y,"""East Africa Records LTD."" “Full Band & Vocal.”",Changed side. 
TRUE,AD-MC-035_ref315,315,Mimi,Jauharah Orchestra,NA,1950-1953,78 rpm shellac disc,A,Trek,"XYZ.7238, DC.426",Swahili Tango,PP,Y,"“Leader: Sheriff Twahir Ahmed; Singer: Hussein Khamis. At Mombasa, Kenya.” Taarab. Recorded by Hugh Tracey. Featured on Colonial Dance Bands (SWP Records, 2006).",Serial no. Notes. Genre. 
TRUE,AD-MC-035_ref317,317,Mimi Nawe Mbali,Yaseen & Mimi (Radio Singers),NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 304, AM 151",Kiswahili,PP,Y,"Singer also known as: Yaseen Mohamed, Yasseen Mohamed, Yaseen Tofaly. Assanand & Sons (Mombasa) LTD. “Radio singers.” “Orchestra: Taishokoto, Castanets & Drums.”",NONE
TRUE,AD-MC-035_ref319,319,"Miswi—Baha, Part 1",Maalimabdi,NA,NA,78 rpm shellac disc,A,Columbia,"CES.530, EO.257",Swahili,PP,Y,"""Magic Notes Trade Mark.""","Artist name, serial number. "
TRUE,AD-MC-035_ref320,320,"Miswi—Baha, Part 2",Maalimabdi,NA,NA,78 rpm shellac disc,B,Columbia,"CES.531, EO.257",Swahili,PP,Y,"Melody from Maalim Shaaban (Jamal Hafidh). ""Magic Notes Trade Mark.""","Artist name, serial number. "
TRUE,AD-MC-035_ref322,322,Siwezi Taabu,Jauharah Orchestra,NA,1950,78 rpm shellac disc,B,Gallotone,"ABC.13678, GB.2229",Swahili,PP,Y,"""Leader: Shariff T. Twahir."" Also archived in Mainz AMA. ",New Entry
TRUE,AD-MC-035_ref326,326,Star Waltz ,Morning Star Orchestra,NA,1956-1959,78 rpm shellac disc,NA,Tom Tom,"T 0770, TR 454",Swahili,PP,Y,"""(Vocalist: Shafi Athman)."" ""Opel Gramophone Record Factory LTD. Kampala/Uganda, East Africa.""",New Entry! 
TRUE,AD-MC-035_ref328,328,Sumba Omar,Silvano Mukudi,NA,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 46, AM 23",Manyala,PP,Y,"""Assanand & Sons (Mombasa) LTD."" ""Guitar & Maracas”",None
TRUE,AD-MC-035_ref330,330,Picha Picha Yoko,Manorma & Varma,Joseph Karanja,1935-1955,78 rpm shellac disc,NA,Young India,"T 954, SR 153",Swahili,PP,Y,"“Film Tune: ‘House No. 44’.” Based on Hindi film song. Part of a series of Swahilized Hindi film songs released by Young India. On Young India, see http://eap.bl.uk/database/overview_project.a4d?projID=EAP190;r=41. This song is not available in the British Library archive. ",Corrected artist name
TRUE,AD-MC-035_ref332,332,Tarikiba (1st Part.),Siti Tete Binti Mabruk,NA,ca. 1930,78 rpm shellac disc,A,Pathé,X 79007,Swahili,PP,Y,"""Mughani Siti Tete Binti Mabruk."" ""Swahili Song of Mombasa."" ""Acc. Kamania na Uod."" ",New Entry! 
TRUE,AD-MC-035_ref334,334,Tarikiba (2nd Part.),Siti Tete Binti Mabruk,NA,ca. 1930,78 rpm shellac disc,B,Pathé,X 79007,Swahili,PP,Y,"""Mughani Siti Tete Binti Mabruk."" ""Swahili Song of Mombasa."" ""Acc. Kamania na Uod."" ",New Entry! 
TRUE,AD-MC-035_ref336,336,Mmoja Au Wawili,Stephen & Sisters,Stephen B. Ngumbao,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB. 504, AM 252",Kiswahili,PP,Y,Assanand & Sons (Mombasa) LTD.,Added periods to the serial numbers
TRUE,AD-MC-035_ref338,338,Mombasa Hakuna Kazi,Fundi Konde & His Guitar,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 997, EA. 484",Swahili,PP,Y,“East African Records LTD.” “Guitar & Vocal.”,Serial no. 
TRUE,AD-MC-035_ref340,340,Moyo wanitanga-tanga,The Coast Social Orchestra,NA,NA,78 rpm shellac disc,B,Gallotone,"XYZ.7297, GB.1894","Swahili/Nguja, Rumba",PP,Y,"""Leader: A. Ayub Gombe, At Nairobi, Kenya” ""2.44""",Notes. 
