,NYUAD Archives Reference,,Song Title,Artist,Composer,Year (estimate/range),Original Format,Side,Label,"Serial Numbers (Generally: Recording #, Disc #, other)",Genre,Collection ID,Image,Research Notes,Corrections made by Cristóbal. 
TRUE,AD-MC-035_ref23,23,Kheti Mukijuwa,Badi & His Orchestra,Traditional,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAF.81, M.A.41",Swahili Song,PP,Y,"Singer also known as: Mohamedali Badi, Mohamed Ali Badi, Mohamed Badi",New Entry!
TRUE,AD-MC-035_ref24,24,Umenidhalili,Badi & His Orchestra,Traditional,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAF.82, M.A.41",Swahili Song,PP,Y,"Singer also known as: Mohamedali Badi, Mohamed Ali Badi, Mohamed Badi",New Entry!
TRUE,AD-MC-035_ref25,25,Siku Ku Khalifu,Badi & Party,Traditional,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAF 79, MA 40",Swahili Rumba,PP,Y,"Singer also known as: Mohamedali Badi, Mohamed Ali Badi, Mohamed Badi. Title should read: “Sikukuu Khalifu.”",Changed side. 
TRUE,AD-MC-035_ref26,26,Sitokushutumu,Badi & Party,Traditional,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAF 80, MA 40",Swahili Song,PP,Y,"Singer also known as: Mohamedali Badi, Mohamed Ali Badi, Mohamed Badi",Changed side. 
TRUE,AD-MC-035_ref27,27,Asantu Spiringi,Banusaada Lele-Mama Band,NA,1947-1951,78 rpm shellac disc,B,Jambo,"JR.655, EA.277",Swahili,PP,Y,"""East African Sound Studios. Lele Mama. “Vocal with trumpet and mbiu accompaniment.” ""Traditional.""","Notes, Serial no. "
TRUE,AD-MC-035_ref28,28,Haiba Banusaada,Banusaada Lele-Mama Band,NA,1947-1951,78 rpm shellac disc,B,Jambo,"JR.653, EA.276",Swahili,PP,Y,"""East African Sound Studios. Lele Mama. “Vocal with trumpet and mbiu accompaniment.” ""Traditional.""","Notes, serial no. "
TRUE,AD-MC-035_ref29,29,Sore Bibi,Banusaada Lele-Mama Band,NA,1947-1951,78 rpm shellac disc,A,Jambo,"JR.654, EA.277",Swahili,PP,Y,"""East African Sound Studios. Lele Mama. “Vocal with trumpet and mbiu accompaniment.” ""Traditional.""","Notes, Serial no. "
TRUE,AD-MC-035_ref30,30,Niwarembo,Banusaada Lele-Mama Band,Traditional,1947-1951,78 rpm shellac disc,A,Jambo,"JR.652, EA.276",Swahili,PP,Y,"""East African Sound Studios. Lele Mama. “Vocal with trumpet and mbiu accompaniment.” ""Traditional.""","Notes, serial no. "
TRUE,AD-MC-035_ref31,31,Simba wa Mombasa,Ben & Party,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.1315, EO.2176",Swahili,PP,Y,"""Magic Notes Trade Mark."" ""Made in England.""",Notes. Serial no. 
 ,AD-MC-035_ref32,32,Kazi Kilindini,"Ben Nicholas, Fundi Konde, Ester Nicholas, Reg. Manus",,1957,78 rpm shellac disc,A,His Master's Voice,"OAM.446, AMC 159",Swahili,PP,Y,"“Fundi Konde (guitar & vocal), Ester Nicholas (vocal), Ben Nicholas (vocal), Reg. Manus (P. accordeon)”",
TRUE,AD-MC-035_ref33,33,Bwa Camilla Mpenzi,Bernadette Sakina et les guitaristes A. Artour et Amundala Amiri,,NA,78 rpm shellac disc,NA,Fiesta,"CF 303, 240",Kiswahili,PP,Y,NA,Sides
TRUE,AD-MC-035_ref34,34,Kaka Mpenzi Mwezi Unaisha,Bernadette Sakina et les guitaristes A. Artour et Amundala Amiri,,NA,78 rpm shellac disc,NA,Fiesta,"CF 302, 240",Kiswahili,PP,Y,NA,"Sides, Song Spelling"
TRUE,AD-MC-035_ref35,35,Banatlub El-Mola,Bin Berek,NA,ca. 1955-1965,78 rpm shellac disc,B,Mzuri,"ABC 22758, AM. 572",Arabic,PP,Y,"Ahmed Mahfouz Bin Brek. ""Recorded by Assanand & Sons (Mombasa) LTD."" Hadhrami",Serial no. Notes
TRUE,AD-MC-035_ref36,36,Banatlub El-Mola ,Bin Berek,NA,ca. 1955-1965,78 rpm shellac disc,A,Mzuri,"ABC 22757, AM. 572",Arabic,PP,Y,"Ahmed Mahfouz Bin Brek. ""Recorded by Assanand & Sons (Mombasa) LTD."" Hadhrami",Serial no. Notes
TRUE,AD-MC-035_ref37,37,Mapenzi ya Asubuhi,Brayn Rimber and Party,NA,ca. 1955-1965,78 rpm shellac disc,B,Mzuri,"A.B 728, AM 361",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" Name should probably read “Bryan.” ",Notes. Serial no. 
TRUE,AD-MC-035_ref38,38,Rudi Ana,Brayn Rimber and Party,NA,ca. 1955-1965,78 rpm shellac disc,A,Mzuri,"A.B. 727, AM. 361",Kiswahili,PP,Y,"""Recorded by Assanand & Sons (Mombasa) LTD."" Name should probably read “Bryan.” ",Notes. Serial no. 
TRUE,AD-MC-035_ref39,39,Beishara—Comedy,Buda,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.4138, EO.2157",Swahili,PP,Y,"""Magic Notes Trade Mark."" ",Serial no. Notes. 
TRUE,AD-MC-035_ref40,40,Ukosapo Darihima,Buda,NA,NA,78 rpm shellac disc,NA,Columbia,"CES.4139, EO.2157",Swahili,PP,Y,"Taarab ""Magic Notes Trade Mark."" ",Serial no. Sides. Notes. 
TRUE,AD-MC-035_ref41,41,Usingizi. Part 2,Budda Bin Mwendo,Budda Bin Mwendo,ca. 1930,78 rpm shellac disc,B,Columbia,"W.63056, WE.56",Swahili Song,PP,Y,"Alternate spelling: “Buda Bin Mwendo.” ""Magic Notes Trade Mark."" ""Tanganyika & Zanzibar Recording."" Matola et al. 1966:115.",Serial no. Notes. Artist spelling
TRUE,AD-MC-035_ref42,42,Basharaf Nadi Hijaz Huka,Budda Bin Mwendo ,NA,ca. 1930,78 rpm shellac disc,B,Columbia,WE 25,NA,JH,,"violin, oud. Listed on Afrodisc.com.",New Entry
TRUE,AD-MC-035_ref43,43,Kiko Mboli,Chuba & Party,Self Composed,1938-1946,78 rpm shellac disc,NA,His Master's Voice,"OAF.215, M.A.59",Swahili Song,PP,Y,"Chuba Shee. Title should read: “Kiko Mbali.” Recorded by Shankardas and Sons, Nairobi. “Indian Taarab,” based Hindi film song from the film Saigal. Uses the Hindi word “aaja” (“come”). (Jamal Hafidh). ""Made in England.""",
TRUE,AD-MC-035_ref44,44,Siri Mlofanya Nyumbani,Cubano Marimbo,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1161, EA. 559",Swahili,PP,Y,"""East Africa Records LTD."" “Vocal & Full Band”","Serial no., Notes. Artist Spelling"
TRUE,AD-MC-035_ref45,45,Wawa,Cubano Marimbo,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 116, EA. 559",Swahili,PP,Y,"""East Africa Records LTD."" “Vocal & Full Band”","Serial no., Notes. Artist Spelling"
TRUE,AD-MC-035_ref46,46,Ewe Mpenzi Wangu,Dar es Salaam Jazz Band,A. Salum,NA,78 rpm shellac disc,B,Gallotone,"ABC.13801, GB.2231",Swahili,PP,Y,"""Music Pub. Co. of Africa.""","Notes, Composer, Serial no. "
TRUE,AD-MC-035_ref47,47,Shari La Moyoni Mwao,Dar es Salaam Jazz Band,A. Salum,NA,78 rpm shellac disc,A,Gallotone,"ABC.13798, GB.2231",Swahili,PP,Y,"""Music Pub. Co. of Africa.""",Serial no. Notes
TRUE,AD-MC-035_ref48,48,Tangu Hapo Mwatujuwa,Dar es Salaam Jazz Band,A. Salum,NA,78 rpm shellac disc,B,Gallotone,"ABC.13800, GB.2248",Swahili/Njuga,PP,Y,"""Music Pub. Co. of Africa.""",Notes. Serial no. 
TRUE,AD-MC-035_ref49,49,Yawapasa Kukumbuka,Dar es Salaam Jazz Band,A. Salum,NA,78 rpm shellac disc,A,Gallotone,"ABC.13799, GB.2248",Swahili/Njuga,PP,Y,"""Music Pub. Co. of Africa.""",Notes. Serial no. 
TRUE,AD-MC-035_ref50,50,Kula ni sili nakwambia,Dar es Salaam Jazz Band,NA,NA,78 rpm shellac disc,A,Gallotone,"ABC.12294, TA.66",Swahili,PP,Y,"""Music Pub. Co. of Africa.""","Notes, Title, Serial no. "
TRUE,AD-MC-035_ref51,51,Maneno yako we mpenzi,Dar es Salaam Jazz Band,NA,NA,78 rpm shellac disc,B,Gallotone,"ABC.12295, TA.66",Swahili,PP,Y,"""Music Pub. Co. of Africa.""","Notes, Title spelling, Serial no. "
TRUE,AD-MC-035_ref52,52,Chama nikiingiya,Dar-es-Salaam Jazz Band,NA,NA,78 rpm shellac disc,A,Gallotone,"XYZ.6606, GB.1247, RC.31",Swahili/Nguja,PP,Y,"“Leader: Shabani Abdullah” ""3m. 34s.""","Artist spelling, Serial no., Genre"
TRUE,AD-MC-035_ref53,53,Machapa,Dar-es-Salaam Jazz Band,NA,NA,78 rpm shellac disc,B,Gallotone,"XYZ.6067, GB.1247, RC.31",Swahili/Nguja,PP,Y,"“Leader: Shabani Abdullah” ""2m 32s.""","Artist spelling, Serial no., "
TRUE,AD-MC-035_ref54,54,Mna Tuonea Bure Dar,Dar-es-Salaam Jazz Band,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1134, EA. 546",Swahili,PP,Y,"""East Africa Records LTD."" “Full Band & Vocal”","Title spelling, serial no., Artist name spelling, Notes. "
TRUE,AD-MC-035_ref55,55,Nyote Mwajua Yakini Dar,Dar-es-Salaam Jazz Band,NA,1952-1961,78 rpm shellac disc,NA,Jambo,"J.R. 1135, EA. 546",Swahili,PP,Y,"""East Africa Records LTD."" “Full Band & Vocal”","Title spelling, serial no., Artist name spelling, Notes. "
TRUE,AD-MC-035_ref56,56,Baladi Yalkhali,Egyptian Musical Club,A. Haji,NA,78 rpm shellac disc,A,Gallotone,"ABC.13803, GB.2247",Swahili/Njuga,PP,Y,"“Leader: Bom Amberon; Singer: A. Haji” ""Music Pub. Co. of Africa.""",Serial no. Genre
TRUE,AD-MC-035_ref98,98,"""Kicheko""",Siti Masika Sulemani & Party,Lulu & Sulemani Orchestra,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 64, AM 32",Kiswahili,PP,Y,"""Made in Germany."" ""Assanand & Sons (Mombasa) LTD.""",New Entry!
TRUE,AD-MC-035_ref100,100,"""Moyo Nalikuzuiya"" Part 1",Maalim Abdi,NA,NA,78 rpm shellac disc,A,Columbia,"CES 966, EO 2109",Swahili,PP,Y,"""Magic Notes Trade Mark.""",Title
TRUE,AD-MC-035_ref101,101,"""Moyo Nalikuzuiya"" Part 2",Maalim Abdi,NA,NA,78 rpm shellac disc,B,Columbia,"CES 967, EO 2109",Swahili,PP,Y,"""Magic Notes Trade Mark.""",Title
TRUE,AD-MC-035_ref102,102,"""Nikilala""",Siti Masika Sulemani & Party,Lulu & Sulemani Orchestra,ca. 1955-1965,78 rpm shellac disc,NA,Mzuri,"AB 63, AM 32",Kiswahili,PP,Y,"""Made in Germany."" ""Assanand & Sons (Mombasa) LTD.""",New Entry!
